text,label_class,label,illness,area,hospital,doctor,category
治阴道炎需要做哪些检查,检查,0,阴道炎,nall,nall,nall,nall
睑缘炎检查什么,检查,0,睑缘炎,nall,nall,nall,nall
我想问一下中心性渗出性脉络膜视网膜炎需要做什么检查,检查,0,中心性渗出性脉络膜视网膜炎,nall,nall,nall,nall
问一下风湿病性贫血做啥检查,检查,0,风湿病性贫血,nall,nall,nall,nall
打扰问一下青春期功能失调性子宫出血检查什么,检查,0,青春期功能失调性子宫出血,nall,nall,nall,nall
扁平苔藓要检查啥项目？,检查,0,扁平苔藓,nall,nall,nall,nall
前葡萄膜炎如何体检？,检查,0,前葡萄膜炎,nall,nall,nall,nall
肺荚膜组织胞浆菌病检查什么,检查,0,肺荚膜组织胞浆菌病,nall,nall,nall,nall
您好肝血管平滑肌脂肪瘤化验什么啊,检查,0,肝血管平滑肌脂肪瘤,nall,nall,nall,nall
前列腺癌筛查是怎样的,检查,0,前列腺癌,nall,nall,nall,nall
麻风做啥体检呢？,检查,0,麻风,nall,nall,nall,nall
左胸隐痛肿胀需要检查什么,检查,0,左胸隐痛肿胀,nall,nall,nall,nall
生殖道肿瘤做啥检查,检查,0,生殖道肿瘤,nall,nall,nall,nall
请问慢性脓胸需要做什么检查,检查,0,慢性脓胸,nall,nall,nall,nall
肝癌要做哪些检查？,检查,0,肝癌,nall,nall,nall,nall
打扰问一下肛肠疾病如何体检,检查,0,肛肠疾病,nall,nall,nall,nall
现在孩子呼吸不通畅，面色紫青，我怀疑是气管进了异物，小儿气管异物怎么查？,检查,0,小儿气管异物,nall,nall,nall,nall
打扰问一下上颌窦恶性肿瘤化验什么啊,检查,0,上颌窦恶性肿瘤,nall,nall,nall,nall
出血性脑中风如何体检？,检查,0,出血性脑中风,nall,nall,nall,nall
请问：确诊卵巢癌要做哪些检查,检查,0,卵巢癌,nall,nall,nall,nall
子宫肌瘤一般会有哪些检查,检查,0,子宫肌瘤,nall,nall,nall,nall
冒昧问一下青光眼睫状体炎综合征需要做什么检查,检查,0,青光眼睫状体炎综合征,nall,nall,nall,nall
我想问一下费尔蒂综合征要做什么化验治疗吗,检查,0,费尔蒂综合征,nall,nall,nall,nall
请教一下阴道鳞状上皮癌要做什么化验治疗吗,检查,0,阴道鳞状上皮癌,nall,nall,nall,nall
经前期综合征如何体检,检查,0,经前期综合征,nall,nall,nall,nall
先天性椎体畸形做啥检查,检查,0,先天性椎体畸形,nall,nall,nall,nall
女性尿路感染一般该做哪些检查,检查,0,尿路感染,nall,nall,nall,nall
新生儿缺氧可以做CT检查吗,检查,0,新生儿缺氧,nall,nall,nall,nall
你好，麻烦问［②一下功能性呕吐如何体检,检查,0,功能性呕吐,nall,nall,nall,nall
打扰问一下灰泥角化病做啥检查,检查,0,灰泥角化病,nall,nall,nall,nall
你好，麻烦问一下寰椎骨折做啥检查,检查,0,寰椎骨折,nall,nall,nall,nall
你好，麻烦问一下短肠综合征如何体检？,检查,0,短肠综合征,nall,nall,nall,nall
请问肢端纤维角化瘤做啥检查,检查,0,肢端纤维角化瘤,nall,nall,nall,nall
打扰问一下躁狂抑郁症如何体检,检查,0,躁狂抑郁症,nall,nall,nall,nall
问一下副神经损伤需要做什么检查是的,检查,0,副神经损伤,nall,nall,nall,nall
请问眶假瘤做啥检查,检查,0,眶假瘤,nall,nall,nall,nall
慢性咽炎如何体检,检查,0,慢性咽炎,nall,nall,nall,nall
肝脓肿做啥体如其检呢？,检查,0,肝脓肿,nall,nall,nall,nall
汗腺癌做啥体检呢？,检查,0,汗腺癌,nall,nall,nall,nall
请教一下脚气病需要做什么检查,检查,0,脚气病,nall,nall,nall,nall
我想问［②ｃ］ 一下皮脂腺异位症要检查啥项目？,检查,0,皮脂腺异位症,nall,nall,nall,nall
请问微小度数斜视如何体检,检查,0,斜视,nall,nall,nall,nall
冒昧问一下五脏痹需要做什么检查,检查,0,五脏痹,nall,nall,nall,nall
请问拉沙热做啥检查,检查,0,拉沙热,nall,nall,nall,nall
高脂蛋白血症Ⅳ型检查什么,检查,0,高脂蛋白血症Ⅳ型,nall,nall,nall,nall
妊娠合并甲状腺功能亢进要检查啥项目？,检查,0,妊娠合并甲状腺功能亢进,nall,nall,nall,nall
请问肺泡通气低下综合征如何体检,检查,0,肺泡通气低下综合征,nall,nall,nall,nall
腕舟骨骨折检查什么,检查,0,腕舟骨骨折,nall,nall,nall,nall
问一下星形病毒胃肠炎要做什么化验治疗吗,检查,0,星形病毒胃肠炎,nall,nall,nall,nall
请教一下小儿黄疸肝脏色素沉着综合征做啥检查,检查,0,小儿黄疸肝脏色素沉着综合征,nall,nall,nall,nall
慢性支气管炎如何体检,检查,0,慢性支气管炎,nall,nall,nall,nall
您好寒湿困脾化验什么啊,检查,0,寒湿困脾,nall,nall,nall,nall
阴茎异常勃起如何体检？,检查,0,阴茎异常勃起,nall,nall,nall,nall
冒昧问一下弥漫型间皮瘤检查什么,检查,0,弥漫型间皮瘤,nall,nall,nall,nall
请教一下盆腔脓肿做啥检查,检查,0,盆腔脓肿,nall,nall,nall,nall
你好，麻烦问一下脑外伤后综合征如何体检？,检查,0,脑外伤后综合征,nall,nall,nall,nall
您好耳廓假囊肿如何体检？,检查,0,耳廓假囊肿,nall,nall,nall,nall
我想问一下大量羊水吸入如何体检？,检查,0,大量羊水吸入,nall,nall,nall,nall
问一下慢性扁桃体炎检查什么与,检查,0,慢性扁桃体炎,nall,nall,nall,nall
恶性小汗腺汗孔瘤如何体检,检查,0,恶性小汗腺汗孔瘤,nall,nall,nall,nall
冒昧问一下第三腰椎横突综合征需要做什么检查,检查,0,第三腰椎横突综合征,nall,nall,nall,nall
请教一下软骨外胚层发育不全化验什么啊,检查,0,软骨外胚层发育不全,nall,nall,nall,nall
打扰问一下缺铁性吞咽困难检查什么,检查,0,缺铁性吞咽困难,nall,nall,nall,nall
小儿腹泻需检查血常规吗？,检查,0,腹泻,nall,nall,nall,nall
问一下无胆色素尿性黄疸综合征做啥体检呢？,检查,0,无胆色素尿性黄疸综合征,nall,nall,nall,nall
贝克痣化验什么啊,检查,0,贝克痣,nall,nall,nall,nall
怎样诊断智力低下的问题呢？,检查,0,智力低下,nall,nall,nall,nall
请教一下角膜擦伤化验什么啊,检查,0,角膜擦伤,nall,nall,nall,nall
请教一下土肥对称性肢端色素沉着症要做什么化验治疗吗,检查,0,土肥对称性肢端色素沉着症,nall,nall,nall,nall
问一下泌尿感染做啥检查,检查,0,泌尿感染,nall,nall,nall,nall
急性闭角性青光眼需要做什么检查,检查,0,急性闭角性青光眼,nall,nall,nall,nall
请问猪带绦虫病做啥检查,检查,0,猪带绦虫病,nall,nall,nall,nall
您好闭合性颅脑损伤如何体检,检查,0,闭合性颅脑损伤,nall,nall,nall,nall
慢惊风做啥检查,检查,0,慢惊风,nall,nall,nall,nall
外生殖器畸形化验什么啊,检查,0,外生殖器畸形,nall,nall,nall,nall
久疟如何体检,检查,0,久疟,nall,nall,nall,nall
问一下高原红细胞增多症要做什么化验治疗吗,检查,0,高原红细胞增多症,nall,nall,nall,nall
孩子身体矮小需要检查什么项目？,检查,0,孩子身体矮小,nall,nall,nall,nall
冒昧问一下先天性梅毒性肝硬化需要做什么检查,检查,0,先天性梅毒性肝硬化,nall,nall,nall,nall
问一下髓内肿瘤做啥检查,检查,0,髓内肿瘤,nall,nall,nall,nall
打扰问一下子宫恶性肿瘤做啥体检呢？,检查,0,子宫恶性肿瘤,nall,nall,nall,nall
请教一下神经性耳鸣做啥体检呢？,检查,0,神经性耳鸣,nall,nall,nall,nall
妊娠瘙痒性荨麻疹性丘疹及斑块病做啥体检呢？,检查,0,妊娠瘙痒性荨麻疹性丘疹及斑块病,nall,nall,nall,nall
问一下真菌过敏性哮喘要做什么化验治疗吗,检查,0,真菌过敏性哮喘,nall,nall,nall,nall
你好，麻烦问一下红蝴蝶疮要检查啥项目？,检查,0,红蝴蝶疮,nall,nall,nall,nall
疣状皮肤结核如何体检,检查,0,疣状皮肤结核,nall,nall,nall,nall
我想问一下致密性髂骨炎化验什么啊,检查,0,致密性髂骨炎,nall,nall,nall,nall
新生儿呼吸窘迫综合征要做什么化验治疗吗,检查,0,呼吸窘迫综合征,nall,nall,nall,nall
你好，麻烦问一下急性单纯性咽炎检查什么,检查,0,急性单纯性咽炎,nall,nall,nall,nall
产后三急需要做什么检查,检查,0,产后三急,nall,nall,nall,nall
你好，麻烦问一下皮肤骨髓纤维化如何体检？,检查,0,皮肤骨髓纤维化,nall,nall,nall,nall
您好肺-胸膜阿米巴病要检查啥项目？,检查,0,肺-胸膜阿米巴病,nall,nall,nall,nall
您好全身性发疹性组织细胞增生症如何体检,检查,0,全身性发疹性组织细胞增生症,nall,nall,nall,nall
您好职业病要做什么化验治疗吗,检查,0,职业病,nall,nall,nall,nall
外阴炎一般该做什么检查？,检查,0,外阴炎,nall,nall,nall,nall
儿童散瞳怎么检查？,检查,0,散瞳,nall,nall,nall,nall
请问冠状病毒感染化验什么啊,检查,0,冠状病毒感染,nall,nall,nall,nall
打扰问一下弓形体病要做什么化验治疗吗,检查,0,弓形体病,nall,nall,nall,nall
淋巴癌化验什么啊,检查,0,淋巴癌,nall,nall,nall,nall
问一下慢性心力衰竭如何体检？,检查,0,慢性心力衰竭,nall,nall,nall,nall
痛风和高尿酸血症如何体检,检查,0,痛风,nall,nall,nall,nall
冒昧问一下头皮血肿做啥检查,检查,0,头皮血肿,nall,nall,nall,nall
高血压怎么诊断出来的？,检查,0,高血压,nall,nall,nall,nall
前列腺癌的早期筛查有哪些,检查,0,前列腺癌,nall,nall,nall,nall
如何检查大脑发育不良,检查,0,大脑发育不良,nall,nall,nall,nall
请问阴茎珍珠疹做啥检查,检查,0,阴茎珍珠疹,nall,nall,nall,nall
性厌恶化验什么啊,检查,0,性厌恶,nall,nall,nall,nall
打扰问一下精神病做啥检查,检查,0,精神病,nall,nall,nall,nall
冒昧问一下遗传性感觉神经病检查什么,检查,0,遗传性感觉神经病,nall,nall,nall,nall
脾水做啥体检呢？,检查,0,脾水,nall,nall,nall,nall
您不成好甲状腺血管瘤做啥体检呢？,检查,0,甲状腺血管瘤,nall,nall,nall,nall
您好颈部淋巴结结核要做什么化验治疗吗,检查,0,颈部淋巴结结核,nall,nall,nall,nall
我想问一下跖疣做啥体检呢？,检查,0,跖疣,nall,nall,nall,nall
请教一下白血病伴发的精神障碍要做什么化验治疗吗,检查,0,白血病伴发的精神障碍,nall,nall,nall,nall
请教一下冠状病毒感染做啥体检呢？,检查,0,冠状病毒感染,nall,nall,nall,nall
髌骨骨折如何体检,检查,0,髌骨骨折,nall,nall,nall,nall
问一下新生儿臂丛神经麻痹如何体检？,检查,0,臂丛神经麻痹,nall,nall,nall,nall
低颅压综合征要检查啥项目？,检查,0,低颅压综合征,nall,nall,nall,nall
冒昧问一下雷诺病要做什么化验治疗吗,检查,0,雷诺病,nall,nall,nall,nall
你好，麻烦问一下肺良性淋巴细胞血管炎和肉芽肿病做啥检查,检查,0,良性淋巴细胞血管炎和肉芽肿病,nall,nall,nall,nall
你好，麻烦问一下胆源性慢性胰腺炎需要做什么检查,检查,0,胆源性慢性胰腺炎,nall,nall,nall,nall
糖尿病需要哪些检查报告？,检查,0,糖尿病,nall,nall,nall,nall
请教一下食管压迫型颈椎病要做什么化验治疗吗,检查,0,食管压迫型颈椎病,nall,nall,nall,nall
